dish_id,restaurant_id,dish_name,price,prep_time_min,tags,popularity_score
R13D7,R13,Spicy Al Pastor Taco,3.65,7,"pork, quick, spicy, taco",0.84
R13D8,R13,Spicy Chips & Guacamole,7.1,8,"appetizer, dip, spicy, vegetarian",0.91
R13D9,R13,Spicy Carnitas Burrito,11.63,10,"beans, burrito, entree, rice, spicy",0.75
R13D10,R13,Spicy Quesadilla Suprema,10.1,11,"cheese, chicken, quick, spicy",0.99
R13D11,R13,Spicy Veggie Fajita Bowl,14.28,14,"entree, healthy, keto, spicy, vegan",0.65
R13D12,R13,Spicy Al Pastor Taco,2.65,8,"pork, quick, spicy, taco",0.91
R13D13,R13,Spicy Al Pastor Taco,2.73,6,"pork, quick, spicy, taco",0.7
R13D14,R13,Spicy Carnitas Burrito,13.23,12,"beans, burrito, entree, rice, spicy",0.64
R13D15,R13,Spicy Quesadilla Suprema,10.18,5,"cheese, chicken, quick, spicy",0.89
R13D16,R13,Spicy Veggie Fajita Bowl,15.9,11,"entree, healthy, keto, spicy, vegan",0.63
R13D17,R13,Spicy Quesadilla Suprema,10.18,13,"cheese, chicken, quick, spicy",0.82
R13D18,R13,Spicy Chips & Guacamole,7.84,10,"appetizer, dip, spicy, vegetarian",0.99
R13D19,R13,Spicy Veggie Fajita Bowl,14.23,12,"entree, healthy, keto, spicy, vegan",0.94
R13D20,R13,Spicy Veggie Fajita Bowl,14.98,16,"entree, healthy, keto, spicy, vegan",0.88
R14D1,R14,The Signature Burger,14.0,23,"burger, beef, entree",0.81
R14D2,R14,Mushroom Swiss Burger,15.5,15,"burger, cheese, classic",0.75
R14D3,R14,Classic Fries,5.0,8,"side, quick, comfort_food",0.66
R14D4,R14,Milkshake (Chocolate),7.0,8,"drink, dessert, sweet",0.92
R14D5,R14,Chicken Tenders,11.0,18,"fried, chicken, quick",0.64
R14D6,R14,The Signature Veggie Burger,14.38,16,"burger, entree, vegan",0.76
R14D7,R14,Spicy Classic Fries,4.91,11,"comfort_food, quick, side, spicy",0.64
R14D8,R14,Mushroom Swiss Veggie Burger,15.9,22,"burger, cheese, classic",0.87
R14D9,R14,Shrimp Tenders,10.93,10,"fried, quick, seafood",0.96
R14D10,R14,The Signature Veggie Burger,13.97,22,"burger, entree, vegan",0.65
R14D11,R14,The Signature Veggie Burger,14.79,13,"burger, entree, vegan",0.85
R14D12,R14,Spicy Classic Fries,4.03,5,"comfort_food, quick, side, spicy",0.9
R14D13,R14,Shrimp Tenders,9.58,16,"fried, quick, seafood",0.73
R14D14,R14,The Signature Veggie Burger,13.44,16,"burger, entree, vegan",0.89
R14D15,R14,Mushroom Swiss Veggie Burger,15.67,18,"burger, cheese, classic",0.67
R14D16,R14,Spicy Milkshake (Chocolate),5.63,3,"dessert, drink, spicy, sweet",0.8
R14D17,R14,Mushroom Swiss Veggie Burger,14.94,25,"burger, cheese, classic",0.88
R14D18,R14,Spicy Classic Fries,4.06,10,"comfort_food, quick, side, spicy",0.66
R14D19,R14,Spicy Milkshake (Chocolate),6.35,2,"dessert, drink, spicy, sweet",0.89
R14D20,R14,The Signature Veggie Burger,14.76,16,"burger, entree, vegan",0.97
R15D1,R15,Butter Chicken,19.5,30,"curry, chicken, creamy, sweet",0.63
R15D2,R15,Chicken Tikka Masala,18.99,21,"curry, spicy, chicken, entree",0.79
R15D3,R15,Garlic Naan,4.0,10,"bread, side, quick",0.93
R15D4,R15,Saag Paneer,16.5,17,"curry, vegetarian, spinach, cheese",0.63
R15D5,R15,Vegetable Samosas,6.0,8,"appetizer, fried, vegetarian",0.68
R15D6,R15,Spicy Saag Paneer,16.05,18,"cheese, curry, spicy, spinach, vegetarian",0.76
R15D7,R15,Butter Shrimp,18.25,24,"creamy, curry, seafood, sweet",0.61
R15D8,R15,Shrimp Tikka Masala,18.83,29,"curry, entree, seafood, spicy",0.63
R15D9,R15,Spicy Saag Paneer,15.11,20,"cheese, curry, spicy, spinach, vegetarian",0.77
R15D10,R15,Spicy Vegetable Samosas,5.08,12,"appetizer, fried, spicy, vegetarian",0.98
R15D11,R15,Butter Shrimp,20.53,26,"creamy, curry, seafood, sweet",0.99
R15D12,R15,Shrimp Tikka Masala,17.93,29,"curry, entree, seafood, spicy",0.63
R15D13,R15,Spicy Vegetable Samosas,4.85,5,"appetizer, fried, spicy, vegetarian",0.77
R15D14,R15,Butter Shrimp,18.25,28,"creamy, curry, seafood, sweet",0.62
R15D15,R15,Spicy Saag Paneer,17.79,24,"cheese, curry, spicy, spinach, vegetarian",0.87
